GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
337.0,118.0,4.0,4.5,4.5,9.65,1,0.92
324.0,107.0,4.0,4.0,4.5,8.87,1,0.76
316.55876288659795,104.0,3.0,3.0,3.5,8.0,1,0.72
322.0,110.0,3.0,3.5,2.5,8.67,1,0.8
314.0,103.0,2.0,2.0,3.0,8.21,0,0.65
330.0,115.0,5.0,4.5,3.0,9.34,1,0.9
321.0,109.0,3.0,3.0,4.0,8.2,1,0.75
308.0,101.0,2.0,3.0,4.0,7.9,0,0.68
302.0,102.0,1.0,2.0,1.5,8.0,0,0.5
323.0,108.0,3.0,3.5,3.0,8.6,0,0.45
325.0,106.0,3.0,3.5,4.0,8.4,1,0.52
327.0,111.0,4.0,4.0,4.5,9.0,1,0.84
316.55876288659795,112.0,4.0,4.0,4.5,9.1,1,0.78
307.0,109.0,3.0,4.0,3.0,8.0,1,0.62
311.0,104.0,3.0,3.5,2.0,8.2,1,0.61
314.0,105.0,3.0,3.5,2.5,8.3,0,0.54
317.0,107.0,3.0,4.0,3.0,8.7,0,0.66
319.0,106.0,3.0,4.0,3.0,8.0,1,0.65
318.0,110.0,3.0,4.0,3.0,8.8,0,0.63
303.0,102.0,3.0,3.5,3.0,8.5,0,0.62
312.0,107.0,3.0,3.0,2.0,7.9,1,0.64
325.0,114.0,4.0,3.0,2.0,8.4,0,0.7
328.0,116.0,5.0,5.0,5.0,9.5,1,0.94
316.55876288659795,119.0,5.0,5.0,4.5,9.7,1,0.95
336.0,119.0,5.0,4.0,3.5,9.8,1,0.97
340.0,120.0,5.0,4.5,4.5,9.6,1,0.94
322.0,109.0,5.0,4.5,3.5,8.8,0,0.76
298.0,98.0,2.0,1.5,2.5,7.5,1,0.44
295.0,93.0,1.0,2.0,2.0,7.2,0,0.46
310.0,99.0,2.0,1.5,2.0,7.3,0,0.54
300.0,97.0,2.0,3.0,3.0,8.1,1,0.65
327.0,103.0,3.0,4.0,4.0,8.3,1,0.74
338.0,118.0,4.0,3.0,4.5,9.4,1,0.91
340.0,114.0,5.0,4.0,4.0,9.6,1,0.9
331.0,112.0,5.0,4.0,5.0,9.8,1,0.94
320.0,110.0,5.0,5.0,5.0,9.2,1,0.88
316.55876288659795,106.0,2.0,4.0,4.0,8.4,0,0.64
300.0,105.0,1.0,1.0,2.0,7.8,0,0.58
304.0,105.0,1.0,3.0,1.5,7.5,0,0.52
307.0,108.0,2.0,4.0,3.5,7.7,0,0.48
308.0,110.0,3.0,3.5,3.0,8.0,1,0.46
316.0,105.0,2.0,2.5,2.5,8.2,1,0.49
